bot_id,top_id,bot_type,top_type,x,y,z_bot,z_top,dx,dy,dz,dist_xy,type_pair,label,sector6,ang_deg,ang_margin,dz_thresh,confidence,is_boundary,label_raw,frac1,frac2,block_id
4585,7350,2,3,84.263390760681,36.8655470482631,17.516506667538,20.7513805051967,-0.03694300432350417,0.17123622182599973,3.2348738376587,0.1751759950269712,2->3,AB,2,102.1745600277716,12.174560027771605,3.336072339193011,0.04917370329958659,1,AB,0.4758921125225623,0.32166395882212556,0
4586,7351,2,3,86.4453659738274,38.1005990032803,17.5110450569791,20.7490863512977,-0.06242249695181101,0.20600390021029824,3.2380412943185988,0.21525374567601227,2->3,BA,2,106.85765305730033,16.857653057300325,3.336072339193011,0.08366674570700243,1,AB,0.4869917755966416,0.3324401911856856,0
4587,7352,2,3,88.6283549566753,39.3335921459015,17.5055535064083,20.7474999243007,-0.08980782173939872,0.24492233761640136,3.2419464178924002,0.2608685421990511,2->3,BA,2,110.13691476058669,20.136914760586706,3.336072339193011,0.1211210678422885,1,AB,0.4981080809803027,0.3431984597375354,0
4588,7353,2,3,90.8123963924304,40.5644572054098,17.5003806552683,20.7468441924316,-0.11916456035289968,0.28813517792890053,3.2464635371632973,0.3118045432706506,2->3,BA,2,112.46860344111232,22.46860344111232,3.336072339193011,0.16153385822946542,0,AB,0.5092416231824133,0.3539381600680076,2
4589,7354,2,3,92.997480131811,41.7931966706549,17.4958653876507,20.7472226126691,-0.15046398158850138,0.3356411703323019,3.251357225018399,0.36782387766090197,2->3,BA,2,114.14613136488478,24.14613136488478,3.336072339193011,0.20478235148533735,0,AB,0.5203923146533842,0.3646593138931301,2
4590,7355,2,3,95.1835396200169,43.0198999336774,17.4923082588983,20.748594807136,-0.18356698385029802,0.38726497509379953,3.2562865482377,0.42856854585269877,2->3,BA,2,115.36136079149757,25.36136079149759,3.336072339193011,0.2506097100111046,0,AB,0.5315592624941199,0.37536270118770243,2
4591,7356,2,3,97.370443396839,44.2447515586291,17.4899400284464,20.7507675790211,-0.21821343169959562,0.44263795738170586,3.2608275505746995,0.493503255398749,2->3,BA,2,116.24255987758325,26.242559877583233,3.336072339193011,0.29860788175891567,0,AB,0.5427406681533127,0.3860499323343304,2
4592,7357,2,3,99.5580024962525,45.4680329941712,17.4888922834157,20.7534186126995,-0.25403236498280535,0.5011960749952991,3.2645263292838003,0.5618985211312187,2->3,BA,2,116.87827414876523,26.87827414876523,3.336072339193011,0.3482285034695763,0,AB,0.5539338758707775,0.39672346306466105,2
4593,7358,2,3,101.745973135752,46.6901147912472,17.4891704137786,20.7561421004869,-0.29055281965999313,0.5621948293535013,3.2669716867083025,0.6328380260099616,2->3,BA,2,117.33076788125332,27.330767881253337,3.336072339193011,0.39879476532754154,0,AB,0.5651354269502618,0.4073865265569046,2
4594,7359,2,3,103.934072493581,47.9114361740376,17.4906408857349,20.7585062609681,-0.3272321420689934,0.6247485089644016,3.2678653752331996,0.7052599338232003,2->3,BA,2,117.64474641460738,27.64474641460737,3.336072339193011,0.44953847779805234,0,AB,0.5763412681028439,0.4180429551857314,2
